order_id,distribution_center_name,delivery_days
712,Memphis TN,0
733,Memphis TN,0
733,Savannah GA,0
2314,Mobile AL,0
2571,Savannah GA,0
2571,Houston TX,0
3507,Chicago IL,0
4138,Houston TX,0
4373,Houston TX,0
5396,Memphis TN,0
8271,Savannah GA,0
9447,Mobile AL,0
9582,Philadelphia PA,0
10207,Chicago IL,0
10207,Port Authority of New York/New Jersey NY/NJ,0
10252,New Orleans LA,0
10423,Savannah GA,0
14987,New Orleans LA,0
15176,Port Authority of New York/New Jersey NY/NJ,0
15179,Memphis TN,0
15436,Los Angeles CA,0
16451,Houston TX,0
17167,Mobile AL,0
17867,Mobile AL,0
17902,Memphis TN,0
18217,Charleston SC,0
20184,Mobile AL,0
20577,Philadelphia PA,0
21299,Los Angeles CA,0
24605,New Orleans LA,0
24605,Los Angeles CA,0
25558,Los Angeles CA,0
25558,Savannah GA,0
25973,Memphis TN,0
25973,Los Angeles CA,0
26110,Houston TX,0
26110,Philadelphia PA,0
26110,New Orleans LA,0
26110,Chicago IL,0
26584,New Orleans LA,0
26601,Chicago IL,0
26601,Mobile AL,0
26669,Chicago IL,0
27522,Charleston SC,0
27522,Mobile AL,0
27522,Houston TX,0
27522,Chicago IL,0
28492,Philadelphia PA,0
30496,Savannah GA,0
30619,Houston TX,0
30619,Philadelphia PA,0
32036,Mobile AL,0
32036,Savannah GA,0
33254,Port Authority of New York/New Jersey NY/NJ,0
34975,Philadelphia PA,0
35229,Houston TX,0
36178,Charleston SC,0
36667,Los Angeles CA,0
36888,Memphis TN,0
36888,Memphis TN,0
36888,Memphis TN,0
37182,Memphis TN,0
39852,Los Angeles CA,0
40400,Chicago IL,0
40400,Mobile AL,0
42212,Philadelphia PA,0
42212,Philadelphia PA,0
43430,Memphis TN,0
43430,Los Angeles CA,0
43549,Houston TX,0
43730,Mobile AL,0
43911,Port Authority of New York/New Jersey NY/NJ,0
43911,Port Authority of New York/New Jersey NY/NJ,0
44037,Mobile AL,0
44678,Houston TX,0
44678,Memphis TN,0
44727,Memphis TN,0
46158,Houston TX,0
46681,Memphis TN,0
46681,Chicago IL,0
46933,Chicago IL,0
46933,Houston TX,0
46933,Port Authority of New York/New Jersey NY/NJ,0
49781,Memphis TN,0
50298,Charleston SC,0
50346,Mobile AL,0
50472,Houston TX,0
50472,Mobile AL,0
50472,Chicago IL,0
50781,Memphis TN,0
51655,Houston TX,0
51655,Charleston SC,0
51655,Chicago IL,0
51655,Charleston SC,0
51959,Mobile AL,0
52325,Houston TX,0
52544,Charleston SC,0
52594,Charleston SC,0
54067,Charleston SC,0
55254,Los Angeles CA,0
55254,Port Authority of New York/New Jersey NY/NJ,0
55254,New Orleans LA,0
55254,Houston TX,0
55644,Chicago IL,0
55644,Los Angeles CA,0
56213,Charleston SC,0
56213,Savannah GA,0
56213,Mobile AL,0
56288,Charleston SC,0
56712,Mobile AL,0
56712,Port Authority of New York/New Jersey NY/NJ,0
58648,Charleston SC,0
58940,Houston TX,0
60225,Houston TX,0
61729,Mobile AL,0
61745,Houston TX,0
62073,Memphis TN,0
62073,Charleston SC,0
62073,Savannah GA,0
62073,Mobile AL,0
62939,New Orleans LA,0
63238,Philadelphia PA,0
64945,New Orleans LA,0
64945,Mobile AL,0
66639,Mobile AL,0
66866,Charleston SC,0
67143,Los Angeles CA,0
67251,Houston TX,0
67251,Chicago IL,0
67287,Houston TX,0
68130,Memphis TN,0
68234,Houston TX,0
68306,Houston TX,0
68549,Chicago IL,0
69668,Los Angeles CA,0
69945,Mobile AL,0
69992,Philadelphia PA,0
70191,New Orleans LA,0
70191,Mobile AL,0
70191,Memphis TN,0
70573,New Orleans LA,0
70647,Memphis TN,0
71093,Chicago IL,0
71307,Philadelphia PA,0
71307,Philadelphia PA,0
72638,Los Angeles CA,0
72638,Port Authority of New York/New Jersey NY/NJ,0
72686,Savannah GA,0
73483,Memphis TN,0
73743,Houston TX,0
74040,Savannah GA,0
74686,Chicago IL,0
75564,Port Authority of New York/New Jersey NY/NJ,0
75564,Mobile AL,0
76503,Mobile AL,0
76960,Mobile AL,0
77791,Houston TX,0
78927,Chicago IL,0
78949,Charleston SC,0
79002,Port Authority of New York/New Jersey NY/NJ,0
79340,Mobile AL,0
81367,Savannah GA,0
82919,Los Angeles CA,0
83874,Chicago IL,0
85375,Charleston SC,0
85375,Savannah GA,0
85375,Savannah GA,0
85375,Savannah GA,0
87587,Port Authority of New York/New Jersey NY/NJ,0
87779,Port Authority of New York/New Jersey NY/NJ,0
88557,Los Angeles CA,0
88557,Mobile AL,0
88611,Memphis TN,0
89117,New Orleans LA,0
89882,Charleston SC,0
89882,Mobile AL,0
90687,Chicago IL,0
91223,Los Angeles CA,0
91255,Mobile AL,0
91273,Mobile AL,0
91806,Savannah GA,0
91806,Chicago IL,0
92412,Memphis TN,0
93855,Chicago IL,0
93855,Mobile AL,0
95066,Mobile AL,0
95066,Chicago IL,0
95539,Port Authority of New York/New Jersey NY/NJ,0
96940,Savannah GA,0
97556,Charleston SC,0
97556,Savannah GA,0
98019,Chicago IL,0
98130,Chicago IL,0
98213,Chicago IL,0
98763,Chicago IL,0
98763,Chicago IL,0
98763,Mobile AL,0
98763,Houston TX,0
